City,State,lat,long,s,w,n,e

Vishakhapatnam,Andhra Pradesh,0,0,17.5376598,83.0665969,17.9396846,83.45858559999999

East Khameng,Arunachal Pradesh,0,0,27.1319018,92.4560853,27.9791052,93.3727558

Papumpare,Arunachal Pradesh,0,0,26.9361767,93.21066239999999,27.633242,94.2070263

Upper Sibansiri,Arunachal Pradesh,0,0,27.7577771,93.1804509,28.7073196,94.59483589999999

Kamrup Metro,Assam,0,0,25.9977553,91.560822,26.2749173,92.17614239999999

Sewan,Bihar,0,0,0,26.2005175,84.3349879,26.245119,84.3846545

Koria,Chhattisgarh,0,0,22.9379224,81.5766844,23.9253674,82.7721516

Chhotaudepur,Gujarat,0,0,22.2962042,73.99703970000002,22.3206614,74.0241408

Porbander,Gujarat,0,0,21.6036698,69.5799347,21.6672514,69.6806368

Charki Dadri,Haryana,0,0,28.5762308,76.2412549,28.6136854,76.293354

Baramullah,Jammu And Kashmir,0,0,33.906089,73.6214159,34.82591,75.24618099999999

Saraikela Kharasawan,Jharkhand,0,0,22.4851451,85.5132402,23.1610504,86.2482431

Dakshin Kannad,Karnataka,0,0,12.4600859,74.7763319,13.1851624,75.67064169999999

Uttar Kannad,Karnataka,0,0,13.925242,74.05399349999999,15.5249608,75.1029205

Pathananthitta,Kerala,0,0,9.223692,76.7334509,9.2969679,76.822672

Anupur,Madhya Pradesh,0,0,23.0893277,81.67721139999999,23.1405573,81.71330449999999

Badwani,Madhya Pradesh,0,0,22.0181245,74.88427659999999,22.0575947,74.92428749999999

Chhindware,Madhya Pradesh,0,0,22.0176164,78.8963244,22.0820551,78.9781186

Jahbua,Madhya Pradesh,0,0,22.7557227,74.5815897,22.7806924,74.610343

Neemach,Madhya Pradesh,0,0,24.4351162,74.8267652,24.500583,74.91748799999999

Southwest Khasi Hils,Meghalaya,0,0,25.1681271,90.8570603,25.4516563,91.5559916

Kiphere,Nagaland,0,0,25.8668698,94.7827435,25.871851,94.7881938

Shd Bhagat Singh Ngr,Punjab,0,0,30.568537,76.8348729,30.5875899,76.863512

Sawaimadhopur,Rajasthan,0,0,25.9784161,76.3172149,26.0749788,76.4154053

Virudunagar,Tamil Nadu,0,0,9.5198355,77.9312611,9.627047300000001,77.98511979999999

Jayashankar Bhupalpa,Telangana,0,0,18.3978945,79.8402213,18.4576022,79.8829923

Karim Nagar,Telangana,0,0,18.3926874,79.09143449999999,18.4769227,79.1748619

Komram Bheem Asifaba,Telangana,0,0,19.0294737,78.8090486,19.6166889,79.97971729999999

Mehabubnagar,Telangana,0,0,16.7138087,77.9715586,16.7802802,78.0592346

Rangareddi,Telangana,0,0,16.7460767,77.9227439,17.5224728,78.8442067

Warangal Rural,Telangana,0,0,17.8993616,79.5561218,18.0169363,79.65225219999999

Sepahijhala,Tripura,0,0,23.276504,91.14968560000001,23.787093,91.57651240000001

Ambedkarnagar,Uttar Pradesh,0,0,26.1566454,82.2200054,26.652524,83.1321725

Amethi Csm Nagar,Uttar Pradesh,0,0,26.1441,81.8019,26.1668999,81.8282201

Farrukkhabad,Uttar Pradesh,0,0,27.3541589,79.55365429999999,27.4082714,79.63057979999999

Kannuaj,Uttar Pradesh,0,0,27.0207487,79.8975133,27.0667691,79.9340343

Kashi Ram Nagar,Uttar Pradesh,0,0,27.5493006,78.4709307,28.0279454,79.2148606

Maunathbhanjan,Uttar Pradesh,0,0,25.9130861,83.5349461,25.9662294,83.5902973

Sant Ravi Nagar,Uttar Pradesh,0,0,28.738986,77.7758011,28.745015,77.786991

Sidharthnagar,Uttar Pradesh,0,0,26.9998222,82.4384195,27.502672,83.29274509999999
